3-D Man
A-Bomb 
A.I.M.
Aaron Stack
Abomination 
Abomination 
Absorbing Man
Abyss
Abyss 
Adam Destine
Adam Warlock
Aegis 
Agent Brand
Agent X 
Agent Zero
Agents of Atlas
Aginar
Air-Walker 
Ajak
Ajaxis
Akemi
Alain
Albert Cleary
Albion
Alex Power
Alex Wilder
Alexa Mendez
Alexander Pierce
Alice
Alicia Masters
Alpha Flight
Alpha Flight 
Alvin Maker
Amadeus Cho
Amanda Sefton
Amazoness
American Eagle 
Amiko
Amora
Amphibian 
Amun
Ancient One
Ancient One 
Angel 
Angel 
Angel 
Angela 
Anita Blake
Anne Marie Hoag
Annihilus
Anole
Ant-Man 
Ant-Man 
Anthem
Apocalypse
Apocalypse 
Aqueduct
Arachne
Araña
Arcade
Arcana
Archangel
Arclight
Ares
Argent
Armadillo
Armor 
Armory
Arnim Zola
Arsenic
Artiee
Asgardian
Askew-Tronics
Asylum
Atlas 
Aurora
Avalanche
Avengers
Avengers 
Azazel 
Banshee
Banshee 
Baron Strucker
Baron Zemo 
Baron Zemo 
Baroness S'Bak
Barracuda
Bart Rozum
Bastion
Batroc the Leaper
Battering Ram
Beak
Beast
Beast 
Beast 
Becatron
Bedlam
Beef
Beetle 
Ben Grimm
Ben Parker
Ben Reilly
Ben Urich
Bengal
Beta-Ray Bill
Betty Brant
Betty Ross
Beyonder
Bi-Beast
Big Bertha
Big Wheel
Bill Hollister
Bishop
Bishop 
Black Bird
Black Bolt
Black Bolt 
Black Cat
Black Cat 
Black Crow
Black Knight 
Black Panther
Black Panther 
Black Queen
Black Tarantula
Black Tom
Black Widow
Black Widow 
Black Widow 
Black Widow/Natasha Romanoff 
Blackheart
Blacklash
Blackout
Blade
Blastaar
Blazing Skull
Blindfold
Blink
Blizzard
Blob
Blob 
Blockbuster
Blok
Bloke
Blonde Phantom
Bloodaxe
Bloodscream
Bloodstorm
Bloodstrike
Blue Blade
Blue Marvel
Blue Shield
Blur
"Bob, Agent of Hydra"
Boom Boom
Boomer
Boomerang
Box
Bride of Nine Spiders 
Bromley
Brood
Brother Voodoo
Brotherhood of Evil Mutants
Brotherhood of Mutants 
Bruce Banner
Brute
Bucky
Bug
Bulldozer
Bullseye
Bushwacker
Butterfly
Cable
Cable 
Cable 
Cable 
Cable 
Calamity
Caliban
Callisto
Callisto 
Calypso
Cammi
Cannonball
Cap'n Oz
Captain America
Captain America 
Captain America 
Captain America 
Captain America 
Captain America 
Captain America/Steve Rogers 
Captain Britain
Captain Britain 
Captain Cross
Captain Flint
Captain Marvel 
Captain Marvel 
Captain Marvel 
Captain Marvel 
Captain Marvel 
Captain Midlands
Captain Stacy
Captain Universe
Cardiac
Caretaker
Cargill
Carlie Cooper
Carmella Unuscione
Carnage
Carnage 
Carol Danvers
Carol Hines
Cassandra Nova
Catseye
Cecilia Reyes
Celestials
Centennial
Centurions
Cerebro
Cerise
Ch'od
Chamber
Chameleon
Champions
Changeling
Charles Xavier
Charlie Campion
Chase Stein
Chat
Chimera
Chores MacGillicudy
Christian Walker
Chronomancer
ClanDestine
Clea
Clea 
Clint Barton
Cloak
Cloud 9
Cobalt Man
Colleen Wing
Colonel America
Colossus
Colossus 
Confederates of the Curious
Constrictor
Contessa 
Controller
Cornelius
Corsair
Cosmo 
Cottonmouth
Count Nefaria
Countess
Crimson Crusader
Crimson Dynamo
Crimson Dynamo 
Crimson King
Crossbones
Crule
Crusher Hogan
Crusher Hogan 
Crystal
Cuckoo
Curt Conners
Cuthbert
Cyber
Cyclops
Cyclops 
Cyclops 
Cypher
D'Ken Neramani
Dagger
Daily Bugle
Daimon Hellstrom
Daken
Dakota North
Damage Control
Dani Moonstar
Danny Rand
Daredevil
Daredevil 
Daredevil 
Daredevil 
Dargo Ktor
Dark Avengers
Dark Beast
Dark Phoenix
Dark X-Men
Darkhawk
Darkstar
Darwin
Dazzler
Dazzler 
Deacon Frost
Dead Girl
Deadpool
Deadpool 
Deadpool 
Deadpool 
Death
Deathbird
Deathcry
Deathlok
Deathstrike 
Debra Whitman
Debrii
Deena Pilgrim
Defenders
Demogoblin
Destiny
Detective Soap
Deviants
Devil Dinosaur 
Devil Dinosaur 
Devos
Dexter Bennett
Diablo
Diamondback 
Dinah Soar
Dirk Anger
Doc Samson
Doctor Doom
Doctor Doom 
Doctor Faustus
Doctor Octopus
Doctor Octopus 
Doctor Spectrum
Doctor Strange
Doctor Strange 
Dog Brother #1
Domino
Donald Blake
Doomsday Man
Doop
Doorman
Dorian Gray
Dormammu
Dormammu 
Dr. Strange 
Dracula
Dragon Lord
Dragon Man
Drax
Dreadnoughts
Dreaming Celestial
Druig
Dum Dum Dugan
Dust
Earthquake
Echo
Eddie Brock
Eddie Lau
"Edward ""Ted"" Forrester"
Edwin Jarvis
Ego
Electro
Electro 
Elektra
Elektra 
Elements of Doom
Elite
Elixir
Elloe Kaifi
Elsa Bloodstone
Emma Frost
Empath
Emplate
Enchantress 
Enchantress 
Ender Wiggin
Energizer
Epoch
Erik the Red
Eternals
Eternity
Excalibur
Exiles
Exodus
Expediter
Ezekiel
Ezekiel Stane
Fabian Cortez
Falcon
Falcon/Sam Wilson 
